SIZE,AVG_HEIGHT,INSERT_RUNTIME,DESTROY_RUNTIME
16,6,0,0
116,14,7,2
216,16,14,5
316,18,20,6
416,20,28,8
516,21,34,9
616,23,45,13
716,25,49,13
816,26,54,14
916,28,57,14
