SIZE,AVG_HEIGHT,INSERT_RUNTIME,DESTROY_RUNTIME
16,7,1,0
116,13,9,3
216,16,17,5
316,18,28,8
416,19,39,10
516,22,57,11
616,23,59,14
716,24,75,16
816,26,87,26
916,27,98,21
