SIZE,CLASSIC,RECURSIVE,STRASSEN
4,2,225,539
36,426,237900,2850598
68,2829,1906033,34186953
100,9018,1907911,34198347
132,20843,15275348,410437650
164,40181,15267687,410279454
196,69137,15267232,410427815
228,110287,15276554,410386345
260,164380,122204269,4928538475
292,236105,122277941,4930271077
324,327238,122255913,4929777904
356,446096,122276753,4929675181
388,584288,122232081,4928803588
SIZE,CLASSIC,RECURSIVE,STRASSEN
4,0,31,68
36,277,145450,1859878
