SIZE,AVG_HEIGHT,INSERT_RUNTIME,DESTROY_RUNTIME
38672,442,132091,2195
38800,448,132672,2178
38928,448,133400,2272
39056,450,134939,2254
39184,454,135571,2241
39312,453,134785,2230
39440,457,137906,2231
39568,454,138138,2259
39696,454,138448,2220
39824,458,140596,2263
39952,458,140969,2281
40080,463,142874,2264
40208,465,144038,2309
40336,464,144927,2363
40464,465,145176,2286
40592,464,147445,2349
40720,470,148018,2301
40848,471,147336,2337
40976,473,148528,2331
41104,470,148503,2329
41232,470,150606,2387
41360,478,151142,2323
41488,472,153699,2413
41616,474,184419,2499
41744,478,154271,2393
41872,484,156926,2400
42000,479,162459,2488
42128,480,157510,2433
42256,482,159339,2379
42384,484,160304,2447
42512,487,160220,2411
42640,491,162733,2415
42768,487,164410,2451
42896,489,164502,2426
43024,489,165091,2510
43152,493,165955,2462
43280,493,166357,2528
43408,494,167314,2438
43536,497,169043,2567
43664,499,171135,2543
43792,500,172529,2469
43920,499,173518,2518
44048,504,175268,2547
44176,502,173626,2595
44304,506,176263,2630
44432,511,177330,2526
44560,507,178864,2558
44688,506,178861,2571
44816,510,181773,2532
44944,510,183049,2708
45072,513,184520,2534
45200,516,184701,2575
45328,515,185754,2592
45456,518,184754,2627
45584,517,189283,2633
45712,520,189209,2694
45840,523,188671,2568
45968,523,189577,2614
46096,524,198190,2826
46224,523,221193,3296
46352,526,212114,2852
46480,526,215641,3091
46608,530,209493,2921
46736,532,199059,2762
46864,530,198463,2690
46992,536,200609,2763
47120,535,203080,2735
47248,535,204339,2727
47376,540,204076,2782
47504,539,205114,2681
47632,540,206108,2705
47760,544,208055,2783
47888,539,209619,2700
48016,543,210081,2718
48144,545,211654,2747
48272,549,213777,2754
48400,549,214127,2835
48528,550,214290,2851
48656,552,216415,2820
48784,551,218024,2786
48912,553,218985,2824
49040,556,218718,2854
49168,558,222129,2915
49296,559,225049,2844
49424,559,223468,2894
49552,560,225127,2926
49680,564,228677,2971
49808,564,226726,2977
49936,566,227880,2937
50064,567,230377,2866
50192,566,231530,2870
50320,569,232626,2873
50448,570,232274,2906
50576,573,234252,2859
50704,571,234090,2914
50832,574,235476,2903
50960,577,250798,2963
51088,575,285972,3214
51216,576,240525,2944
51344,577,241804,2925
51472,581,243145,2951
51600,584,243719,2941
51728,585,247113,3188
51856,587,246583,2908
51984,585,248864,3026
52112,588,246884,2991
52240,585,250166,3063
52368,591,251440,3076
52496,591,254466,3020
52624,591,253877,2978
52752,593,257059,3059
52880,594,260201,3119
53008,595,259973,3022
53136,598,263482,3009
53264,598,263637,3098
53392,601,266658,3161
53520,604,267348,3213
53648,599,268084,3155
53776,604,269369,3151
53904,607,270607,3123
54032,607,271128,3056
54160,611,271629,3193
54288,607,279751,3138
54416,611,272665,3111
54544,615,274988,3272
54672,616,276044,3157
54800,616,276038,3195
54928,617,280466,3235
55056,619,279887,3155
55184,621,281802,3157
55312,622,283186,3184
55440,619,284140,3195
55568,627,285109,3268
55696,624,286917,3153
55824,626,287959,3291
55952,629,291312,3292
56080,629,295530,3317
56208,632,296506,3407
56336,631,297640,3233
56464,629,301818,3301
56592,635,302054,3278
56720,635,301731,3255
56848,640,301772,3274
56976,641,306384,3210
57104,639,306654,3411
57232,640,307826,3406
57360,645,306801,3318
57488,643,307544,3328
57616,645,310256,3262
57744,643,311883,3375
57872,650,313656,3275
58000,649,313141,3425
58128,652,314937,3282
58256,655,317898,3526
58384,657,318524,3374
58512,651,322289,3302
58640,659,321511,3351
58768,658,322336,3428
58896,660,323790,3361
59024,659,326576,3323
59152,664,328934,3378
59280,661,327766,3480
59408,664,328288,3490
59536,664,332589,3483
59664,666,335591,3540
59792,667,336429,3549
59920,670,336038,3551
60048,671,336888,3647
60176,673,339745,3518
60304,670,341699,3512
60432,673,341832,3486
60560,675,342213,3623
60688,681,344048,3503
60816,681,347332,3434
60944,680,346479,3474
61072,684,347941,3571
61200,684,353117,3487
61328,685,357305,3634
61456,689,360113,3595
61584,689,359706,3666
61712,689,360944,3645
61840,694,364417,3670
61968,691,364900,3589
62096,695,372267,3804
62224,695,399252,3712
62352,695,372314,3728
62480,700,372394,3658
62608,698,395862,3741
62736,699,373375,3690
62864,700,378404,3678
62992,704,379100,3798
63120,702,387500,3754
63248,701,386246,3766
63376,709,384436,3786
63504,706,384890,3821
63632,710,389105,3849
63760,710,388867,3785
63888,711,389492,3912
64016,713,392193,3704
64144,716,395284,3981
64272,716,397162,3743
64400,719,398979,3875
64528,717,399718,3719
64656,721,400019,3853
64784,721,402044,3902
64912,722,406617,3897
65040,727,407457,3897
65168,726,407458,3935
65296,724,432335,4291
65424,728,410627,3924
